route_id,origin_id,destination_id,distance,average_hours
R-9ec2159c,C-927ceb5e,C-b5282c3b,310.71,6.21
R-18f7717e,C-927ceb5e,C-d3bb431c,5315.1,106.3
R-647d7ccc,C-927ceb5e,C-825b2625,110.4,2.21
R-71af6d34,C-927ceb5e,C-90e30162,585.34,11.71
R-c03cec67,C-927ceb5e,C-2e349ccd,8518.61,170.37
R-77ae4ceb,C-927ceb5e,C-56b68559,155.49,3.11
R-f97aec0d,C-927ceb5e,C-328bd8d3,402.53,8.05
R-be1f5c9c,C-927ceb5e,C-841ebdcb,867.28,17.35
R-6b21c069,C-927ceb5e,C-e6dcda92,235.89,4.72
R-56cddd65,C-927ceb5e,C-594514f8,239.78,4.8
R-f654be29,C-56e39a5e,C-927ceb5e,1735.06,34.7
R-327b18c7,C-56e39a5e,C-73ae5412,1957.36,39.15
R-fa8aa8b2,C-56e39a5e,C-4fe0fa24,7637.65,152.75
R-6154acce,C-56e39a5e,C-451776b7,1912.18,38.24
R-921596ed,C-56e39a5e,C-d80a1e7d,1666.2,33.32
R-d036f06f,C-56e39a5e,C-c92599e2,447.0,8.94
R-13195b6e,C-56e39a5e,C-731988ba,1555.46,31.11
R-1868332a,C-56e39a5e,C-639c5e36,2135.85,42.72
R-6cb722d8,C-56e39a5e,C-a9f2c329,1719.44,34.39
R-838ff36c,C-56e39a5e,C-c7cacd1d,2045.33,40.91
R-57a59d1d,C-56e39a5e,C-ef47bdcd,1668.64,33.37
R-3a34d9f0,C-56e39a5e,C-84f378bb,1424.09,28.48
R-2cdedd21,C-56e39a5e,C-c4565ee8,1761.12,35.22
R-7f0d3484,C-56e39a5e,C-6ea51d66,2081.68,41.63
R-02923be8,C-56e39a5e,C-ff8c0c3c,1553.72,31.07
R-451af840,C-56e39a5e,C-e5bfb4e5,1932.25,38.65
R-db03f7f9,C-56e39a5e,C-3dbd8b2e,2584.92,51.7
R-79f3483b,C-56e39a5e,C-7212cebe,1900.97,38.02
R-fd74ef8a,C-56e39a5e,C-b6e04c88,1540.6,30.81
R-87a9d605,C-56e39a5e,C-01660979,2047.94,40.96
R-40bea4e9,C-56e39a5e,C-f8f01604,6992.44,139.85
R-a81acd43,C-56e39a5e,C-280b55fb,1791.75,35.84
R-7f1c71f0,C-56e39a5e,C-f5ed4c15,8744.35,174.89
R-2a649648,C-56e39a5e,C-6df8beaf,1654.66,33.09
R-2469d51f,C-56e39a5e,C-2bd47dc5,2046.16,40.92
R-dc2bd663,C-56e39a5e,C-b25a09de,1816.14,36.32
R-b64f0229,C-56e39a5e,C-419cd14c,904.14,18.08
R-48c7fa77,C-56e39a5e,C-9bbf5d8a,1617.66,32.35
R-2f0ed73f,C-56e39a5e,C-40a81eb1,2192.82,43.86
R-ca6d5b90,C-56e39a5e,C-2c9e75ef,1320.01,26.4
R-13d42710,C-56e39a5e,C-03bb3e48,1994.61,39.89
R-3db0026c,C-56e39a5e,C-19236709,1585.58,31.71
R-670a184d,C-56e39a5e,C-fc66f0ab,1745.83,34.92
R-07d2544a,C-56e39a5e,C-b5ff31cd,2203.95,44.08
R-6e5205b8,C-56e39a5e,C-5d86b887,1848.18,36.96
R-04ad4880,C-56e39a5e,C-2aaf0e1a,1920.96,38.42
R-3970df53,C-56e39a5e,C-34ae77b0,8291.36,165.83
R-7acb8ef3,C-56e39a5e,C-d9e9d934,1779.18,35.58
R-6dd87c7e,C-56e39a5e,C-b5282c3b,1879.83,37.6
R-ba7ea37d,C-56e39a5e,C-d3bb431c,6713.97,134.28
R-9f4e642d,C-56e39a5e,C-825b2625,1648.47,32.97
R-aac61252,C-56e39a5e,C-90e30162,1207.34,24.15
R-25828d3e,C-56e39a5e,C-2e349ccd,8157.87,163.16
R-ce567c4c,C-56e39a5e,C-56b68559,1890.43,37.81
R-c1a857fc,C-56e39a5e,C-328bd8d3,1758.52,35.17
R-a7dd3306,C-56e39a5e,C-841ebdcb,884.53,17.69
R-bea5c140,C-56e39a5e,C-e6dcda92,1664.76,33.3
R-e2d4ab9b,C-56e39a5e,C-594514f8,1782.66,35.65
R-1be5823c,C-73ae5412,C-927ceb5e,1498.24,29.96
R-fb48bd42,C-73ae5412,C-56e39a5e,1957.36,39.15
R-2feb2b3d,C-73ae5412,C-4fe0fa24,7031.18,140.62
R-c93867d5,C-73ae5412,C-451776b7,89.4,1.79
R-49a5eafd,C-73ae5412,C-d80a1e7d,1769.37,35.39
R-6b4a42e2,C-73ae5412,C-c92599e2,2324.22,46.48
R-ea11e3aa,C-73ae5412,C-731988ba,3438.47,68.77
R-e7154f58,C-73ae5412,C-639c5e36,657.5,13.15
R-95a6e248,C-73ae5412,C-a9f2c329,1528.0,30.56
R-dab9fdd0,C-73ae5412,C-c7cacd1d,2186.33,43.73
R-20376100,C-73ae5412,C-ef47bdcd,770.99,15.42
R-e7080ced,C-73ae5412,C-84f378bb,1177.33,23.55
R-0ab8172b,C-73ae5412,C-c4565ee8,1933.12,38.66
R-17a267f1,C-73ae5412,C-6ea51d66,2430.33,48.61
R-b5a4476c,C-73ae5412,C-ff8c0c3c,1314.96,26.3
R-33c6809e,C-73ae5412,C-e5bfb4e5,1619.87,32.4
R-1a59c21e,C-73ae5412,C-3dbd8b2e,746.72,14.93
R-0810e90f,C-73ae5412,C-7212cebe,1522.13,30.44
R-3ec81919,C-73ae5412,C-b6e04c88,1539.6,30.79
R-87f2c5db,C-73ae5412,C-01660979,2408.09,48.16
R-0beb8a14,C-73ae5412,C-f8f01604,7773.21,155.46
R-e000860f,C-73ae5412,C-280b55fb,1929.18,38.58
R-b7532922,C-73ae5412,C-f5ed4c15,7654.22,153.08
R-b247cd56,C-73ae5412,C-6df8beaf,1525.84,30.52
R-6eb11603,C-73ae5412,C-2bd47dc5,2404.23,48.08
R-f0c1ee4c,C-73ae5412,C-b25a09de,2148.42,42.97
R-9a88bde4,C-73ae5412,C-419cd14c,1362.99,27.26
R-7332825d,C-73ae5412,C-9bbf5d8a,2157.81,43.16
R-3138a51e,C-73ae5412,C-40a81eb1,2546.36,50.93
R-5d990166,C-73ae5412,C-2c9e75ef,1155.04,23.1
R-cf4b7432,C-73ae5412,C-03bb3e48,1323.9,26.48
R-51c09ed7,C-73ae5412,C-19236709,1507.55,30.15
R-b65ce91d,C-73ae5412,C-fc66f0ab,1604.25,32.08
R-35dca729,C-73ae5412,C-b5ff31cd,2512.99,50.26
R-58b6fc90,C-73ae5412,C-5d86b887,2260.36,45.21
R-320c7a6d,C-73ae5412,C-2aaf0e1a,2201.74,44.03
R-e3ad4c7e,C-73ae5412,C-34ae77b0,7466.27,149.33
R-5f57bfa3,C-73ae5412,C-d9e9d934,2337.74,46.75
R-2ff1f070,C-73ae5412,C-b5282c3b,1805.54,36.11
R-5e997f1d,C-73ae5412,C-d3bb431c,6501.25,130.02
R-d84c7160,C-73ae5412,C-825b2625,1544.44,30.89
R-8e38b166,C-73ae5412,C-90e30162,1668.41,33.37
R-6a8b7512,C-73ae5412,C-2e349ccd,9908.05,198.16
R-429c262c,C-73ae5412,C-56b68559,1537.77,30.76
R-58b6bf91,C-73ae5412,C-328bd8d3,1886.36,37.73
R-c2361128,C-73ae5412,C-841ebdcb,1404.5,28.09
R-3cad4a95,C-73ae5412,C-e6dcda92,1264.15,25.28
R-32e599fb,C-73ae5412,C-594514f8,1736.69,34.73
R-af9483a7,C-4fe0fa24,C-927ceb5e,6078.46,121.57
R-f45efff1,C-4fe0fa24,C-56e39a5e,7637.65,152.75
R-952c7366,C-4fe0fa24,C-73ae5412,7031.18,140.62
R-c084fe21,C-4fe0fa24,C-451776b7,7119.27,142.39
R-60aab7e8,C-4fe0fa24,C-d80a1e7d,6036.0,120.72
R-db9684a4,C-4fe0fa24,C-c92599e2,7445.85,148.92
R-fb6cc4c4,C-4fe0fa24,C-731988ba,7285.6,145.71
R-2beaa71d,C-4fe0fa24,C-639c5e36,6393.13,127.86
R-bcea4316,C-4fe0fa24,C-a9f2c329,6077.97,121.56
R-0a641bb6,C-4fe0fa24,C-c7cacd1d,5609.5,112.19
R-e081866f,C-4fe0fa24,C-ef47bdcd,6567.37,131.35
R-2aac8cdf,C-4fe0fa24,C-84f378bb,6499.22,129.98
R-fc2bce7d,C-4fe0fa24,C-c4565ee8,5911.45,118.23
R-16feadb8,C-4fe0fa24,C-6ea51d66,5555.98,111.12
R-6dd43ee2,C-4fe0fa24,C-ff8c0c3c,6312.34,126.25
R-c0938d45,C-4fe0fa24,C-e5bfb4e5,5872.92,117.46
R-a4893840,C-4fe0fa24,C-3dbd8b2e,6386.07,127.72
R-19138747,C-4fe0fa24,C-7212cebe,5940.44,118.81
R-3df654f4,C-4fe0fa24,C-b6e04c88,6221.87,124.44
R-abfafb75,C-4fe0fa24,C-01660979,5589.71,111.79
R-4d09a561,C-4fe0fa24,C-f8f01604,2779.33,55.59
R-537f7f20,C-4fe0fa24,C-280b55fb,5885.1,117.7
R-e55952e3,C-4fe0fa24,C-f5ed4c15,1351.0,27.02
R-dde53e02,C-4fe0fa24,C-6df8beaf,6131.57,122.63
R-07906f4b,C-4fe0fa24,C-2bd47dc5,5591.49,111.83
R-e1f39c73,C-4fe0fa24,C-b25a09de,5827.55,116.55
R-b59d27df,C-4fe0fa24,C-419cd14c,6910.51,138.21
R-42b26909,C-4fe0fa24,C-9bbf5d8a,6020.14,120.4
R-933965b8,C-4fe0fa24,C-40a81eb1,5445.81,108.92
R-f85a9c73,C-4fe0fa24,C-2c9e75ef,6609.09,132.18
R-b613951d,C-4fe0fa24,C-03bb3e48,5979.97,119.6
R-250daa9d,C-4fe0fa24,C-19236709,6196.6,123.93
R-4cb71c28,C-4fe0fa24,C-fc66f0ab,6025.38,120.51
R-efd4203a,C-4fe0fa24,C-b5ff31cd,5433.74,108.67
R-36e42039,C-4fe0fa24,C-5d86b887,5789.9,115.8
R-df1eda7f,C-4fe0fa24,C-2aaf0e1a,5723.07,114.46
R-3fbadc8c,C-4fe0fa24,C-34ae77b0,8354.9,167.1
R-23a1b55b,C-4fe0fa24,C-d9e9d934,5860.91,117.22
R-a13a2eb9,C-4fe0fa24,C-b5282c3b,5843.85,116.88
R-5b775913,C-4fe0fa24,C-d3bb431c,1103.33,22.07
R-05e62825,C-4fe0fa24,C-825b2625,6129.03,122.58
R-d4444be3,C-4fe0fa24,C-90e30162,6479.33,129.59
R-1a6bf77a,C-4fe0fa24,C-2e349ccd,5079.24,101.58
R-1a63935d,C-4fe0fa24,C-56b68559,5940.98,118.82
R-ff4dcc89,C-4fe0fa24,C-328bd8d3,5924.42,118.49
R-35d6a6f5,C-4fe0fa24,C-841ebdcb,6905.99,138.12
R-c8a459f8,C-4fe0fa24,C-e6dcda92,6249.25,124.98
R-390ea797,C-4fe0fa24,C-594514f8,5946.92,118.94
R-65197dc6,C-451776b7,C-927ceb5e,1543.01,30.86
R-4d5c4624,C-451776b7,C-56e39a5e,1912.18,38.24
R-9c024081,C-451776b7,C-73ae5412,89.4,1.79
R-9c339171,C-451776b7,C-4fe0fa24,7119.27,142.39
R-128191de,C-451776b7,C-d80a1e7d,1806.27,36.13
R-d45a57cf,C-451776b7,C-c92599e2,2288.87,45.78
R-892593db,C-451776b7,C-731988ba,3408.52,68.17
R-6cf6fe85,C-451776b7,C-639c5e36,740.08,14.8
R-5a117931,C-451776b7,C-a9f2c329,1571.49,31.43
R-64f3629d,C-451776b7,C-c7cacd1d,2231.91,44.64
R-faf1cee4,C-451776b7,C-ef47bdcd,814.7,16.29
R-7de9fde2,C-451776b7,C-84f378bb,1204.72,24.09
R-a344e9a3,C-451776b7,C-c4565ee8,1971.52,39.43
R-88017bb8,C-451776b7,C-6ea51d66,2471.31,49.43
R-7ee8349c,C-451776b7,C-ff8c0c3c,1351.18,27.02
R-a9033c17,C-451776b7,C-e5bfb4e5,1672.64,33.45
R-513fb13a,C-451776b7,C-3dbd8b2e,830.87,16.62
R-60524fdf,C-451776b7,C-7212cebe,1575.17,31.5
R-8543d945,C-451776b7,C-b6e04c88,1573.2,31.46
R-581a0545,C-451776b7,C-01660979,2448.19,48.96
R-5f7528cd,C-451776b7,C-f8f01604,7829.96,156.6
R-c9e3f103,C-451776b7,C-280b55fb,1969.11,39.38
R-56c7abd7,C-451776b7,C-f5ed4c15,7742.7,154.85
R-e33c7640,C-451776b7,C-6df8beaf,1565.87,31.32
R-0064f874,C-451776b7,C-2bd47dc5,2444.36,48.89
R-c0e70e5c,C-451776b7,C-b25a09de,2184.68,43.69
R-c94bd560,C-451776b7,C-419cd14c,1355.44,27.11
R-8663c466,C-451776b7,C-9bbf5d8a,2184.7,43.69
R-82531e7e,C-451776b7,C-40a81eb1,2588.97,51.78
R-1739a9e4,C-451776b7,C-2c9e75ef,1174.26,23.49
R-3d708ac6,C-451776b7,C-03bb3e48,1385.36,27.71
R-54999bdd,C-451776b7,C-19236709,1544.0,30.88
R-938dc0a6,C-451776b7,C-fc66f0ab,1647.94,32.96
R-8c61427f,C-451776b7,C-b5ff31cd,2556.98,51.14
R-1e7ba2a1,C-451776b7,C-5d86b887,2295.4,45.91
R-ba02f523,C-451776b7,C-2aaf0e1a,2241.46,44.83
R-118bf2c2,C-451776b7,C-34ae77b0,7423.61,148.47
R-81cf2c7a,C-451776b7,C-d9e9d934,2367.72,47.35
R-b2d5cb1d,C-451776b7,C-b5282c3b,1852.14,37.04
R-f47fc046,C-451776b7,C-d3bb431c,6582.97,131.66
R-ada9a941,C-451776b7,C-825b2625,1583.89,31.68
R-29cc7f71,C-451776b7,C-90e30162,1682.59,33.65
R-bc105cc5,C-451776b7,C-2e349ccd,9909.95,198.2
R-4f21c91a,C-451776b7,C-56b68559,1589.99,31.8
R-1803bac8,C-451776b7,C-328bd8d3,1925.58,38.51
R-bfe80768,C-451776b7,C-841ebdcb,1396.83,27.94
R-2fb88d71,C-451776b7,C-e6dcda92,1307.65,26.15
R-34c87f19,C-451776b7,C-594514f8,1779.94,35.6
R-f4215aad,C-d80a1e7d,C-927ceb5e,310.75,6.22
R-51e5c496,C-d80a1e7d,C-56e39a5e,1666.2,33.32
R-47f802fd,C-d80a1e7d,C-73ae5412,1769.37,35.39
R-e7461db1,C-d80a1e7d,C-4fe0fa24,6036.0,120.72
R-0c1d2c77,C-d80a1e7d,C-451776b7,1806.27,36.13
R-3983ac17,C-d80a1e7d,C-c92599e2,1663.48,33.27
R-37d56fc9,C-d80a1e7d,C-731988ba,2392.77,47.86
R-163b08b9,C-d80a1e7d,C-639c5e36,1358.36,27.17
R-d1077545,C-d80a1e7d,C-a9f2c329,273.0,5.46
R-3bdbf899,C-d80a1e7d,C-c7cacd1d,470.26,9.41
R-6a1a2533,C-d80a1e7d,C-ef47bdcd,1000.56,20.01
R-c061582f,C-d80a1e7d,C-84f378bb,618.75,12.38
R-3ba56a76,C-d80a1e7d,C-c4565ee8,167.91,3.36
R-53fee30a,C-d80a1e7d,C-6ea51d66,670.83,13.42
R-05ea2470,C-d80a1e7d,C-ff8c0c3c,455.09,9.1
R-2dd42922,C-d80a1e7d,C-e5bfb4e5,369.9,7.4
R-914df584,C-d80a1e7d,C-3dbd8b2e,1882.46,37.65
R-b3d53a8b,C-d80a1e7d,C-7212cebe,414.27,8.29
R-d9f80fa7,C-d80a1e7d,C-b6e04c88,240.42,4.81
R-22882b50,C-d80a1e7d,C-01660979,645.31,12.91
R-52f41d43,C-d80a1e7d,C-f8f01604,6068.74,121.37
R-0ab9671f,C-d80a1e7d,C-280b55fb,174.94,3.5
R-be949d04,C-d80a1e7d,C-f5ed4c15,7081.37,141.63
R-a8541811,C-d80a1e7d,C-6df8beaf,250.02,5.0
R-d1a24665,C-d80a1e7d,C-2bd47dc5,641.57,12.83
R-246bd310,C-d80a1e7d,C-b25a09de,379.11,7.58
R-2e1178f3,C-d80a1e7d,C-419cd14c,879.04,17.58
R-bf6ee666,C-d80a1e7d,C-9bbf5d8a,445.41,8.91
R-3030198f,C-d80a1e7d,C-40a81eb1,793.44,15.87
R-914ed969,C-d80a1e7d,C-2c9e75ef,689.34,13.79
R-be2d2cc3,C-d80a1e7d,C-03bb3e48,663.33,13.27
R-92f26285,C-d80a1e7d,C-19236709,262.27,5.25
R-5a873cd1,C-d80a1e7d,C-fc66f0ab,214.42,4.29
R-93bbd0a8,C-d80a1e7d,C-b5ff31cd,768.78,15.38
R-bb957223,C-d80a1e7d,C-5d86b887,492.14,9.84
R-ba0c5edb,C-d80a1e7d,C-2aaf0e1a,439.0,8.78
R-47b09fd0,C-d80a1e7d,C-34ae77b0,9226.52,184.53
R-3d4b637a,C-d80a1e7d,C-d9e9d934,588.22,11.76
R-9d4ecda1,C-d80a1e7d,C-b5282c3b,218.31,4.37
R-bfcf2a51,C-d80a1e7d,C-d3bb431c,5213.64,104.27
R-1fa30cf7,C-d80a1e7d,C-825b2625,229.5,4.59
R-4eb1df2c,C-d80a1e7d,C-90e30162,458.91,9.18
R-ee40d947,C-d80a1e7d,C-2e349ccd,8215.84,164.32
R-20f95619,C-d80a1e7d,C-56b68559,391.87,7.84
R-356c037d,C-d80a1e7d,C-328bd8d3,128.77,2.58
R-a31de8a4,C-d80a1e7d,C-841ebdcb,871.28,17.43
R-de92a807,C-d80a1e7d,C-e6dcda92,516.77,10.34
R-d9a44601,C-d80a1e7d,C-594514f8,139.34,2.79
R-236ebc56,C-c92599e2,C-927ceb5e,1810.21,36.2
R-6b65c2e1,C-c92599e2,C-56e39a5e,447.0,8.94
R-ae8bdd00,C-c92599e2,C-73ae5412,2324.22,46.48
R-edb5d7cb,C-c92599e2,C-4fe0fa24,7445.85,148.92
R-ad48889f,C-c92599e2,C-451776b7,2288.87,45.78
R-0436e4bf,C-c92599e2,C-d80a1e7d,1663.48,33.27
R-0b2bcff5,C-c92599e2,C-731988ba,1129.55,22.59
R-141064f1,C-c92599e2,C-639c5e36,2407.52,48.15
R-411c3345,C-c92599e2,C-a9f2c329,1786.2,35.72
R-7c35f275,C-c92599e2,C-c7cacd1d,1960.92,39.22
R-7484ffad,C-c92599e2,C-ef47bdcd,1918.91,38.38
R-dda186b0,C-c92599e2,C-84f378bb,1591.43,31.83
R-2b2c193b,C-c92599e2,C-c4565ee8,1717.82,34.36
R-96addd8d,C-c92599e2,C-6ea51d66,1935.67,38.71
R-8e99ef5f,C-c92599e2,C-ff8c0c3c,1676.61,33.53
R-fd69a297,C-c92599e2,C-e5bfb4e5,1986.02,39.72
R-020dade3,C-c92599e2,C-3dbd8b2e,2895.06,57.9
R-9bdd8c00,C-c92599e2,C-7212cebe,1977.35,39.55
R-803ee1b7,C-c92599e2,C-b6e04c88,1600.47,32.01
R-df371f46,C-c92599e2,C-01660979,1903.36,38.07
R-37c036aa,C-c92599e2,C-f8f01604,6586.08,131.72
R-ce36d636,C-c92599e2,C-280b55fb,1752.15,35.04
R-5367dcf5,C-c92599e2,C-f5ed4c15,8637.35,172.75
R-f954eb6a,C-c92599e2,C-6df8beaf,1720.16,34.4
R-0ed678ff,C-c92599e2,C-2bd47dc5,1902.4,38.05
R-ec96f039,C-c92599e2,C-b25a09de,1715.93,34.32
R-b608ac6d,C-c92599e2,C-419cd14c,1095.32,21.91
R-4dab4344,C-c92599e2,C-9bbf5d8a,1493.09,29.86
R-01153564,C-c92599e2,C-40a81eb1,2031.49,40.63
R-f8a25f87,C-c92599e2,C-2c9e75ef,1504.33,30.09
R-eaaa8b5f,C-c92599e2,C-03bb3e48,2123.45,42.47
R-ac9b18c6,C-c92599e2,C-19236709,1655.0,33.1
R-ed86380e,C-c92599e2,C-fc66f0ab,1793.17,35.86
R-f1178826,C-c92599e2,C-b5ff31cd,2053.11,41.06
R-d348d1e2,C-c92599e2,C-5d86b887,1719.19,34.38
R-cbdeed3b,C-c92599e2,C-2aaf0e1a,1817.5,36.35
R-084ab49c,C-c92599e2,C-34ae77b0,8658.94,173.18
R-cdbaa420,C-c92599e2,C-d9e9d934,1618.56,32.37
R-00b9095d,C-c92599e2,C-b5282c3b,1881.47,37.63
R-50796358,C-c92599e2,C-d3bb431c,6466.25,129.32
R-e2c09207,C-c92599e2,C-825b2625,1708.7,34.17
R-6923dbf6,C-c92599e2,C-90e30162,1230.34,24.61
R-3829e837,C-c92599e2,C-2e349ccd,7727.85,154.56
R-79c97380,C-c92599e2,C-56b68559,1962.32,39.25
R-1e6372bd,C-c92599e2,C-328bd8d3,1728.39,34.57
R-54f525ba,C-c92599e2,C-841ebdcb,1062.45,21.25
R-e0263659,C-c92599e2,C-e6dcda92,1799.43,35.99
R-e102236f,C-c92599e2,C-594514f8,1796.05,35.92
R-53c30281,C-731988ba,C-927ceb5e,2637.04,52.74
R-d074d446,C-731988ba,C-56e39a5e,1555.46,31.11
R-b613b63f,C-731988ba,C-73ae5412,3438.47,68.77
R-7b29d646,C-731988ba,C-4fe0fa24,7285.6,145.71
R-87c86df6,C-731988ba,C-451776b7,3408.52,68.17
R-a74839df,C-731988ba,C-d80a1e7d,2392.77,47.86
R-09a88645,C-731988ba,C-c92599e2,1129.55,22.59
R-ca9014a2,C-731988ba,C-639c5e36,3440.52,68.81
R-423f0584,C-731988ba,C-a9f2c329,2603.82,52.08
R-0c8a29cd,C-731988ba,C-c7cacd1d,2493.25,49.86
R-7709cccc,C-731988ba,C-ef47bdcd,2947.83,58.96
R-bed0381c,C-731988ba,C-84f378bb,2556.16,51.12
R-c60141e4,C-731988ba,C-c4565ee8,2369.56,47.39
R-a89cccae,C-731988ba,C-6ea51d66,2339.76,46.8
R-e636bb23,C-731988ba,C-ff8c0c3c,2581.71,51.63
R-586e73be,C-731988ba,C-e5bfb4e5,2760.85,55.22
R-e085b39c,C-731988ba,C-3dbd8b2e,3956.92,79.14
R-98c59035,C-731988ba,C-7212cebe,2787.59,55.75
R-eac02cf9,C-731988ba,C-b6e04c88,2432.45,48.65
R-bcaf455a,C-731988ba,C-01660979,2316.89,46.34
R-6e9fbdbe,C-731988ba,C-f8f01604,5787.47,115.75
R-e23cdb07,C-731988ba,C-280b55fb,2404.51,48.09
R-c5a1953f,C-731988ba,C-f5ed4c15,8616.32,172.33
R-99eda67a,C-731988ba,C-6df8beaf,2544.15,50.88
R-086eb3df,C-731988ba,C-2bd47dc5,2317.97,46.36
R-9e9b9ff5,C-731988ba,C-b25a09de,2261.18,45.22
R-6aaec1d3,C-731988ba,C-419cd14c,2130.68,42.61
R-eb4463ab,C-731988ba,C-9bbf5d8a,2039.82,40.8
R-5415844e,C-731988ba,C-40a81eb1,2381.68,47.63
R-af601d43,C-731988ba,C-2c9e75ef,2494.21,49.88
R-06dfe39e,C-731988ba,C-03bb3e48,2995.85,59.92
R-f56dfb6f,C-731988ba,C-19236709,2492.82,49.86
R-2690724f,C-731988ba,C-fc66f0ab,2581.36,51.63
R-a0338367,C-731988ba,C-b5ff31cd,2424.38,48.49
R-a71d54c0,C-731988ba,C-5d86b887,2204.52,44.09
R-756e7b43,C-731988ba,C-2aaf0e1a,2336.38,46.73
R-f1ea57b5,C-731988ba,C-34ae77b0,9183.35,183.67
R-ca879ffd,C-731988ba,C-d9e9d934,2057.95,41.16
R-4234fcd6,C-731988ba,C-b5282c3b,2585.03,51.7
R-ce2410a8,C-731988ba,C-d3bb431c,6202.89,124.06
R-b58c8a7b,C-731988ba,C-825b2625,2526.66,50.53
R-c12f1bef,C-731988ba,C-90e30162,2075.73,41.51
R-38e10e85,C-731988ba,C-2e349ccd,6602.7,132.05
R-248156cf,C-731988ba,C-56b68559,2767.43,55.35
R-2cecd3ff,C-731988ba,C-328bd8d3,2401.32,48.03
R-eafd98fd,C-731988ba,C-841ebdcb,2091.61,41.83
R-a210fca8,C-731988ba,C-e6dcda92,2707.17,54.14
R-df8c8ec9,C-731988ba,C-594514f8,2531.01,50.62
R-cff653f0,C-639c5e36,C-927ceb5e,1050.84,21.02
R-efc48528,C-639c5e36,C-56e39a5e,2135.85,42.72
R-90d781e2,C-639c5e36,C-73ae5412,657.5,13.15
R-ddcc6375,C-639c5e36,C-4fe0fa24,6393.13,127.86
R-ce2d52d9,C-639c5e36,C-451776b7,740.08,14.8
R-f70f1e98,C-639c5e36,C-d80a1e7d,1358.36,27.17
R-d257f0c3,C-639c5e36,C-c92599e2,2407.52,48.15
R-844b7b0f,C-639c5e36,C-731988ba,3440.52,68.81
R-6cfb156e,C-639c5e36,C-a9f2c329,1087.41,21.75
R-931b7bd0,C-639c5e36,C-c7cacd1d,1696.94,33.94
R-476fc25f,C-639c5e36,C-ef47bdcd,493.35,9.87
R-4b5442fb,C-639c5e36,C-84f378bb,905.49,18.11
R-2b5aba88,C-639c5e36,C-c4565ee8,1502.04,30.04
R-b27b0bae,C-639c5e36,C-6ea51d66,1963.03,39.26
R-1a32157c,C-639c5e36,C-ff8c0c3c,952.33,19.05
R-5dbcf5ae,C-639c5e36,C-e5bfb4e5,1106.98,22.14
R-ad451391,C-639c5e36,C-3dbd8b2e,538.87,10.78
R-fd4a0eaf,C-639c5e36,C-7212cebe,1013.27,20.27
R-38e5da24,C-639c5e36,C-b6e04c88,1170.78,23.42
R-a383f5b7,C-639c5e36,C-01660979,1947.06,38.94
